Sample,Gate,X Parameter,X Median
A17-2,singlets,PHO5pr-mCherry-A,5145
A17-2,singlets,chimera-GFP-A,2467
A17-3,singlets,FSC-A,532586
A17-3,singlets,PHO5pr-mCherry-A,4812
A17-3,singlets,chimera-GFP-A,2162
A18-1-yH295-pH194,singlets,FSC-A,627298
A18-1-yH295-pH194,singlets,PHO5pr-mCherry-A,1656
A18-1-yH295-pH194,singlets,chimera-GFP-A,1507
A18-2,singlets,FSC-A,561158
A18-2,singlets,PHO5pr-mCherry-A,1707
A18-2,singlets,chimera-GFP-A,1482
A18-3,singlets,FSC-A,562945
A18-3,singlets,PHO5pr-mCherry-A,1800
A18-3,singlets,chimera-GFP-A,1530
A12-1-yH295-pH188,singlets,FSC-A,567598
A12-1-yH295-pH188,singlets,PHO5pr-mCherry-A,11478
A12-1-yH295-pH188,singlets,chimera-GFP-A,1310
A12-2,singlets,FSC-A,562387
A12-2,singlets,PHO5pr-mCherry-A,11366
A12-2,singlets,chimera-GFP-A,1333
A12-3,singlets,FSC-A,572735
A12-3,singlets,PHO5pr-mCherry-A,11839
A12-3,singlets,chimera-GFP-A,1318
pos,singlets,FSC-A,617925
pos,singlets,PHO5pr-mCherry-A,10541
pos,singlets,chimera-GFP-A,1772
B3-1-yH296-pH179,singlets,FSC-A,598446
B3-1-yH296-pH179,singlets,PHO5pr-mCherry-A,12466
B3-1-yH296-pH179,singlets,chimera-GFP-A,1347
B3-2,singlets,FSC-A,862088
B3-2,singlets,PHO5pr-mCherry-A,30265
B3-2,singlets,chimera-GFP-A,2752
B3-3,singlets,FSC-A,841193
B3-3,singlets,PHO5pr-mCherry-A,28031
B3-3,singlets,chimera-GFP-A,2615
B20-1-yH296-pH177,singlets,FSC-A,641467
B20-1-yH296-pH177,singlets,PHO5pr-mCherry-A,24254
B20-1-yH296-pH177,singlets,chimera-GFP-A,2882
B20-2,singlets,FSC-A,606613
B20-2,singlets,PHO5pr-mCherry-A,25587
B20-2,singlets,chimera-GFP-A,3105
B20-3,singlets,FSC-A,630124
B20-3,singlets,PHO5pr-mCherry-A,24497
B20-3,singlets,chimera-GFP-A,3196
B4-1-yH296-pH180,singlets,FSC-A,889297
B4-1-yH296-pH180,singlets,PHO5pr-mCherry-A,24224
B4-1-yH296-pH180,singlets,chimera-GFP-A,1840
B4-2,singlets,FSC-A,664578
B4-2,singlets,PHO5pr-mCherry-A,21758
B4-2,singlets,chimera-GFP-A,1776
B4-3,singlets,FSC-A,650353
B4-3,singlets,PHO5pr-mCherry-A,20339
B4-3,singlets,chimera-GFP-A,1734
B17-1-yH296-pH193,singlets,FSC-A,849633
B17-1-yH296-pH193,singlets,PHO5pr-mCherry-A,17444
B17-1-yH296-pH193,singlets,chimera-GFP-A,1638
B17-2,singlets,FSC-A,579265
B17-2,singlets,PHO5pr-mCherry-A,17630
B17-2,singlets,chimera-GFP-A,1454
B17-3,singlets,FSC-A,574826
B17-3,singlets,PHO5pr-mCherry-A,20409
B17-3,singlets,chimera-GFP-A,1428
B18-1-yH296-pH194,singlets,FSC-A,663546
B18-1-yH296-pH194,singlets,PHO5pr-mCherry-A,18805
B18-1-yH296-pH194,singlets,chimera-GFP-A,1511
B18-2,singlets,FSC-A,679579
B18-2,singlets,PHO5pr-mCherry-A,19613
B18-2,singlets,chimera-GFP-A,1584
B18-3,singlets,FSC-A,664954
B18-3,singlets,PHO5pr-mCherry-A,19113
B18-3,singlets,chimera-GFP-A,1543
B12-1-yH296-pH188,singlets,FSC-A,633829
B12-1-yH296-pH188,singlets,PHO5pr-mCherry-A,15009
B12-1-yH296-pH188,singlets,chimera-GFP-A,1386
B12-2,singlets,FSC-A,648911
B12-2,singlets,PHO5pr-mCherry-A,13204
B12-2,singlets,chimera-GFP-A,1411
B12-3,singlets,FSC-A,643050
B12-3,singlets,PHO5pr-mCherry-A,12951
B12-3,singlets,chimera-GFP-A,1386
PC-Lindsey,singlets,FSC-A,705193
PC-Lindsey,singlets,PHO5pr-mCherry-A,21494
PC-Lindsey,singlets,chimera-GFP-A,2114
NC-yH156,singlets,FSC-A,702736
NC-yH156,singlets,PHO5pr-mCherry-A,26
NC-yH156,singlets,chimera-GFP-A,853
