Sample,Gate,X Parameter,X Median
12,All Events,chimera-GFP-H,7514
13,cells,FSC-A,662876
13,All Events,FSC-A,1023341
13,singlets,FSC-A,660288
13,All Events,FSC-A,1023341
13,cells,FSC-A,662876
13,All Events,PHO5pr-mCherry-A,24653
13,singlets,PHO5pr-mCherry-A,15999
13,All Events,FSC-A,1023341
13,All Events,FSC-A,1023341
13,All Events,chimera-GFP-A,2163
13,singlets,chimera-GFP-A,1379
13,All Events,chimera-GFP-H,1820
14,cells,FSC-A,657203
14,All Events,FSC-A,1031298
14,singlets,FSC-A,654684
14,All Events,FSC-A,1031298
14,cells,FSC-A,657203
14,All Events,PHO5pr-mCherry-A,24577
14,singlets,PHO5pr-mCherry-A,15452
14,All Events,FSC-A,1031298
14,All Events,FSC-A,1031298
14,All Events,chimera-GFP-A,2154
14,singlets,chimera-GFP-A,1321
14,All Events,chimera-GFP-H,1816
15,cells,FSC-A,661666
15,All Events,FSC-A,999127
15,singlets,FSC-A,659783
15,All Events,FSC-A,999127
15,cells,FSC-A,661666
15,All Events,PHO5pr-mCherry-A,23068
15,singlets,PHO5pr-mCherry-A,14999
15,All Events,FSC-A,999127
15,All Events,FSC-A,999127
15,All Events,chimera-GFP-A,2084
15,singlets,chimera-GFP-A,1340
15,All Events,chimera-GFP-H,1759
16,cells,FSC-A,639279
16,All Events,FSC-A,1048575
16,singlets,FSC-A,635996
16,All Events,FSC-A,1048575
16,cells,FSC-A,639279
16,All Events,PHO5pr-mCherry-A,24586
16,singlets,PHO5pr-mCherry-A,14316
16,All Events,FSC-A,1048575
16,All Events,FSC-A,1048575
16,All Events,chimera-GFP-A,2282
16,singlets,chimera-GFP-A,1301
16,All Events,chimera-GFP-H,1909
17,cells,FSC-A,648890
17,All Events,FSC-A,1020274
17,singlets,FSC-A,646535
17,All Events,FSC-A,1020274
17,cells,FSC-A,648890
17,All Events,PHO5pr-mCherry-A,22612
17,singlets,PHO5pr-mCherry-A,14111
17,All Events,FSC-A,1020274
17,All Events,FSC-A,1020274
17,All Events,chimera-GFP-A,2242
17,singlets,chimera-GFP-A,1352
17,All Events,chimera-GFP-H,1898
18,cells,FSC-A,711577
18,All Events,FSC-A,1048575
18,singlets,FSC-A,709099
18,All Events,FSC-A,1048575
